title	description	url	publishedAt	keyword
[Removed]	[Removed]	https://removed.com	1970-01-01T00:00:00Z	['anatomy_of_a_fall', 'anatomy_of_a_fall', 'saltburn', 'saltburn', 'saltburn']
‘The Marvels’ Debuts Atop U.K., Ireland Box Office as ‘Tiger 3’ Roars	Disney’s “The Marvels” debuted atop the U.K. and Ireland box office with £3.4 million ($4.2 million), according to numbers released by Comscore. However, in keeping with its global bow, the opening was soft as the latest installment in the MCU scored just abo…	https://variety.com/2023/film/box-office/the-marvels-uk-ireland-box-office-tiger-3-1235790192/	2023-11-14T12:57:43Z	['hunger_games', 'anatomy_of_a_fall', 'saltburn', 'trolls']
November's most anticipated films: Napoleon invades, The Marvels takes flight, and more	Even though Hollywood strikes—one ongoing, one ended—have created turmoil on movie release calendars, November is still shaping up to be a strong month for films, We’ve got sequels, prequels, and awards hopefuls, meaning everyone should be cinematically satia…	https://www.avclub.com/november-2023-film-preview-napoleon-the-marvels-1850938508	2023-10-24T14:00:00Z	['trolls', 'the_marvels']
Weekend Box Office: The Marvels bombs	"Box Office: 'The Marvels' Misfires With $47 Million, Lowest MCU Opening Weekend of All Time https://t.co/zVOUZMETVg
— Variety (@Variety) November 12, 2023The Marvels may have nabbed top spot at the box office this weekend, but that point is the only good thi…"	https://ohnotheydidnt.livejournal.com/127221213.html	2023-11-12T17:25:05Z	['saltburn', 'trolls']
Napoleon: 6 Minutes of Ridley Scott’s Drama to Screen in IMAX This Weekend	Sony Pictures has announced that moviegoers will have the chance to watch a six-minute sneak peek of Ridley Scott’s highly-anticipated epic war drama Napoleon in IMAX at select Regal theaters this weekend. This comes ahead of its theatrical release on Novembe…	https://www.comingsoon.net/movies/news/1381204-napoleon-6-minutes-ridley-scott-drama-imax	2023-10-27T18:22:39Z	['saltburn', 'trolls']
Deadline Launches Streaming Site For Sound & Screen: Film	The 2023 edition of Deadline’s live-music event Sound & Screen: Film hit the stage November 9 showcasing the songs and scores from 12 of the ramping-up awards season’s buzziest movies. Panelists and performances came from the likes of Diane Warren and Mark Ro…	https://deadline.com/2023/11/2023-sound-and-screen-streaming-site-1235601098/	2023-11-13T18:00:00Z	['saltburn', 'barbie_movie']
Can ‘The Hunger Games’ Prequel Rule The November 2023 Box Office?	Sequels, original family fare, and award season darlings will vie for audience attention through the Thanksgiving holiday.	https://www.forbes.com/sites/markhughes/2023/11/09/can-the-hunger-games-prequel-rule-the-november-2023-box-office/	2023-11-09T17:01:41Z	['hunger_games', 'trolls']
‘Wonka’ Granted China Release On Same Day As ‘Migration’; Both Pics Rolling Out Early Overseas	Warner Bros/Heyday Films’ Wonka has been granted a December 8 release in China, a week ahead of the domestic start and as part of an early overseas rollout for the Timothée Chalamet-starrer. Wonka will be going the same day as Universal/Illumination’s Migrati…	https://deadline.com/2023/11/wonka-migration-china-release-date-upcoming-films-1235596578/	2023-11-09T10:16:00Z	['hunger_games', 'transformers']
'The Marvels' bombs with worst MCU opening yet	The age of superhero movies is over. 'The Marvels,' already perceived as the MCU's Hail Mary, failed to crack $48m on its opening weekend. With a $274.8m official budget (and much more spent on marketing), it is all but doomed to be the fall movie season's bi…	https://boingboing.net/2023/11/13/the-marvels-bombs-with-worst-mcu-opening-yet.html	2023-11-13T14:57:22Z	['hunger_games', 'the_marvels']
Instead of combining two movies, why not simply trim the material?	Lots of ink has already been spilled over two simple truths in modern media. First is the fact that movies are really, really long nowadays. Like, “so long we think they should have an obligatory intermission” long. Second is the fact that studios can’t seem …	https://www.avclub.com/ballad-of-songbirds-and-snakes-edit-hunger-games-1850990471	2023-11-03T18:39:29Z	['hunger_games', 'oppenheimer']
The Marvels just might be the MCU’s first huge box office disaster	With The Marvels, the MCU might experience its first major box office disaster.	https://www.digitaltrends.com/movies/the-marvels-mcu-first-box-office-bomb/	2023-11-06T15:30:05Z	['barbie_movie', 'the_marvels']
China's economy is on shaky ground - but its movie industry is hitting historic box office records	From June to September, Chinese consumers spent $3.2 billion at the box office, a record high for that stretch.	https://www.businessinsider.com/china-economy-markets-movie-industry-box-office-records-hollywood-investors-2023-10	2023-10-16T13:20:48Z	['barbie_movie', 'oppenheimer']
Something Surprised Christopher Nolan When He Snuck Into A Screening Of Oppenheimer	Christopher Nolan had to see for himself whether Oppenheimer is truly succeeding at gripping audiences, and what he saw pleased him very much.	https://www.slashfilm.com/1442215/christopher-nolan-oppenheimer-screening-surprised/	2023-11-11T04:45:00Z	['barbie_movie', 'oppenheimer']
The Strikes Are Over, but the Damage to Theaters Has Just Begun	"Taylor Swift, ""Barbie,"" ""Oppenheimer,"" and ""Sound of Freedom"" saved 2023. Next year will need more surprise blockbusters to paper over the gaps."	https://www.indiewire.com/news/box-office/strikes-over-damage-theatrical-box-office-1234925398/	2023-11-13T13:30:00Z	['barbie_movie', 'oppenheimer']
SAG-AFTRA Tells Striking Actors to Avoid Character Costumes for Halloween	"Image: Universal
Halloween is just over a week away, with parties for the annual holiday likely hitting next weekend. Normally, this year’s festivities would be like any other year: you dress up with your friends as your favorite characters and hang out or w…"	https://gizmodo.com/sag-aftra-strike-actors-halloween-costumes-1850947205	2023-10-21T14:30:00Z	['barbie_movie', 'oppenheimer']
What Your Halloween 2023 Outfit Says About You	What if we kissed dressed as Weird Barbie?	https://www.vice.com/en/article/k7zx7e/halloween-2023-outfits	2023-10-25T07:45:00Z	['barbie_movie', 'oppenheimer']
Can Paul Giamatti Finally Get Nominated for Best Actor?	Paul Giamatti’s reunion with director Alexander Payne on ‘The Holdovers’ offers the Academy the chance to make up for snubbing him in Best Actor for ‘Sideways’ in 2005.	http://www.vulture.com/2023/10/can-paul-giamatti-finally-get-nominated-for-best-actor.html	2023-10-27T21:06:55Z	['anatomy_of_a_fall', 'saltburn']
‘Five Nights at Freddy’s’ Beats Opening Weekend Ticket Sales for ‘Oppenheimer’ and ‘Taylor Swift: The Eras Tour’	"""The Holdovers"" and ""Priscilla"" both show initial promise in platform debuts, but with $78 million ""Freddy's"" is an ""Easy Rider"" moment for Gen Z."	https://www.indiewire.com/news/box-office/five-nights-at-freddys-box-office-history-with-78-million-1234921169/	2023-10-29T18:18:18Z	['anatomy_of_a_fall', 'oppenheimer']
2023 Gotham Awards Nominate ‘Passages,’ ‘Barbie,’ and More	The 33rd annual Gotham Awards will take place November 27 in New York City.	https://www.indiewire.com/awards/results/2023-gotham-award-nominees-1234919477/	2023-10-24T16:10:11Z	['anatomy_of_a_fall', 'barbie_movie']
Lance Bass Reveals How Justin Timberlake Is Doing After Britney Spears Memoir	Lance Bass is speaking out about his *NSYNC bandmate, Justin Timberlake. The 44-year-old pop star got candid about how his fellow 42-year-old boy band member is doing since the release of Britney Spears‘ memoir, The Woman In Me, which contained several revela…	https://www.justjared.com/2023/11/08/lance-bass-reveals-how-justin-timberlake-is-doing-after-britney-spears-memoir/	2023-11-08T15:17:20Z	['trolls']
2023 Holiday Movie Guide: Every New Christmas Movie on Netflix, Hallmark, and More	This year's holiday movie lineup includes new movies from Eddie Murphy, Melissa McCarthy, Lacey Chabert, and many, many more of your faves.	https://decider.com/2023/11/07/2023-holiday-christmas-movies-on-netflix-hallmark-disney-more/	2023-11-07T14:00:00Z	['trolls']
‘Trolls Band Together’ Review: Justin Timberlake Takes the Spotlight in Boy Band-Themed Toon Sequel	When DreamWorks’ original “Trolls” movie was released, it wasn’t immediately apparent that the studio was launching a musical franchise. The rainbow-bright computer-animated feature boasted a sparkly soundtrack and the voice of Justin Timberlake as grumpy, gr…	https://variety.com/2023/film/reviews/trolls-band-together-review-justin-timberlake-nsync-1235764293/	2023-10-22T17:30:00Z	['trolls']
3 New Trolls-Themed Snacks And MORE Are Coming To Universal	"Don't miss these NEW 'Trolls' experiences coming to Universal! 
The post 3 New Trolls-Themed Snacks And MORE Are Coming To Universal appeared first on AllEars.Net."	https://allears.net/2023/11/13/3-new-trolls-themed-snacks-and-more-are-coming-to-universal/	2023-11-13T21:59:33Z	['trolls']
Theodore Shapiro – Trolls Band Together (Original Motion Picture Score) (2023)	Tracklist:01 - Wedding Ceremony02 - Brozone Breaks Up03 - Be Real With Me04 - Trapped in a Diamond Bottle05 - Floyd is in Danger06 - Here We Bro Again07 - Velvet and Veneer's Plan08 - Operation Family Harmony09 - Bridget and Gristle Ride10 - Clue Board11 - Me…	https://rlsbb.ru/theodore-shapiro-trolls-band-together-original-motion-picture-score-2023/	2023-11-12T19:44:49Z	['trolls']
Commentary: Jennifer Lawrence’s pro-chastity sex comedy	It is often remarked that the label “slut” has no male equivalent; terms like “player” and “womanizer” are a tad too celebratory. Well, yes. Call it a “double standard” if it makes you feel better, but we as a species tend to worry much more about female prom…	https://www.theblaze.com/align/commentary-jennifer-lawrences-pro-chastity-sex-comedy	2023-10-23T12:03:31Z	['trolls']
Nonprofit Social Media and Newsletter Ideas for November 2023	Welcome to our monthly post where I share writing ideas for newsletters, social media, blog posts, and more! These writing ideas for November come from our Monthly Nonprofit Writing Prompts email newsletter. Fill out the form below to get December’s prompts e…	https://www.nonprofitmarketingguide.com/nonprofit-social-media-and-newsletter-ideas-for-november/	2023-10-24T16:25:24Z	['trolls']
Celebratory Cartoon Movie Shakes - The Shake Shack Poppy’s Sugar Cookie Shake is Rainbow-Colored (TrendHunter.com)	"(TrendHunter.com) The Shake Shack Poppy’s Sugar Cookie Shake has been created as a UK-exclusive menu item in partnership with Universal studios to provide avid fans with a delicious treat to try out.

The shake..."	https://www.trendhunter.com/trends/poppys-sugar-cookie-shake	2023-10-17T16:35:03Z	['trolls']
Buy Digital Film & Earn $8 Fandango Credit to Trolls: Band Together $7.99	"didn't see this posted yet; titles look like they start at $7.99 for the two trolls movies in uhd/hdx and the rest are $9.99-$14.99, and bundles $14.99-$19.99 
sale page: https://www.vudu.com/content/ ..."	https://slickdeals.net/f/17053435-buy-digital-film-earn-8-fandango-credit-to-trolls-band-together-7-99	2023-11-11T07:05:14Z	['trolls']
Box Office Report: ‘The Nightmare Before Christmas’ Enjoys $4.1M Anniversary Weekend As ‘Trolls’ Tops U.K. Box Office	'PAW Patrol: The Mighty Movie' continued it's impressive box office run at home and abroad.	https://www.cartoonbrew.com/box-office-report/nightmare-before-christmas-paw-patrol-trolls-box-office-233992.html	2023-10-23T13:06:27Z	['trolls']
‘Trolls Band Together’ Soundtrack Is Here: Stream It Now	Trolls Band Together is hitting theaters in less than a month, but fans can get hyped in the meantime by listening to the film’s official soundtrack, which arrived on Friday (Oct. 20). The soundtrack features the previously released collaboration between Cami…	https://biztoc.com/x/c6abcf746f21b7be	2023-10-20T04:18:13Z	['trolls']
‘DreamWorks Trolls Remix Rescue’ Is Available on Nintendo Switch, PS5 & More: Here’s How to Buy It Online	All products and services featured are independently chosen by editors. However, Billboard may receive a commission on orders placed through its retail links, and the retailer may receive certain auditable data for accounting purposes. Although Trolls Band To…	https://biztoc.com/x/e45f049945f695c5	2023-10-27T16:32:08Z	['trolls']
DreamWorks Trolls Remix Rescue now available	We're not trolling you	https://gonintendo.com/contents/27901-dreamworks-trolls-remix-rescue-now-available	2023-10-27T05:50:00Z	['trolls']
“Hunger Games” Prequel Targets $50M Debut	Lionsgate’s upcoming prequel film “The Hunger Games: The Ballad of Songbirds and Snakes” has hit long-range tracking forecasts with the title targeting a $50 million domestic opening weekend. Marvel has opted to stick to its release plans for the title which …	https://www.darkhorizons.com/hunger-games-prequel-targets-50m-debut/	2023-10-26T23:28:31Z	['trolls']
Various Artists – Trolls Band Together (Original Motion Picture Soundtrack) (2023)	Tracklist:01 - NSYNC - Better Place (From TROLLS Band Together)02 - Justin Timberlake - Perfect03 - Justin Timberlake - Let's Get Married04 - Andrew Rannells - Watch Me Work05 - Daveed Diggs - Vacay Island06 - Justin Timberlake - BroZone's Back07 - Troye Siva…	https://rlsbb.ru/various-artists-trolls-band-together-original-motion-picture-soundtrack-2023/	2023-10-22T18:55:18Z	['trolls']
The untold story of how the January 6 riots were planned on Facebook—and how the company missed it	"They described one another as grifters, prima donnas, and clowns. They lied, reflexively and clumsily, in pursuit of money and relevance. Through the power of social media, they would change the course of American political history.



In the aftermath of Jan…"	https://www.fastcompany.com/90980346/mark-zuckerberg-facebook-january-6-broken-code	2023-11-13T05:00:00Z	['trolls']
*NSYNC Members Coming Together for 'Trolls' Mini Premiere After Strike	"The *NSYNC boys are attempting some 11th-hour press before the 'Trolls' movie hits theaters -- and one way they'll be plugging the product is with a group powwow in front of cameras. Sources with direct knowledge tell TMZ ... Justin Timberlake and…
 Permalink"	https://www.tmz.com/2023/11/12/nsync-members-attend-together-trolls-movie-premiere-after-strike/	2023-11-13T01:35:48Z	['trolls']
